SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,our_address
KEBUN BARU LINK 1,172,ANG MO KIO AVENUE 4,KEBUN BARU LINK 1,172 ANG MO KIO AVENUE 4 KEBUN BARU LINK 1 SINGAPORE 560172,560172,28349.92054,39632.2196,1.374694232,103.8364629,172 ANG MO KIO AVE 4
PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC),172,ANG MO KIO AVENUE 4,PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC),172 ANG MO KIO AVENUE 4 PCF SPARKLETOTS PRESCHOOL @ KEBUN BARU 172 (CC) SINGAPORE 560172,560172,28349.92099,39632.21851,1.374694223,103.8364629,172 ANG MO KIO AVE 4
CHENG SAN CREST,510,ANG MO KIO AVENUE 8,CHENG SAN CREST,510 ANG MO KIO AVENUE 8 CHENG SAN CREST SINGAPORE 560510,560510,29753.30093,39489.21794,1.373400926,103.8490732,510 ANG MO KIO AVE 8
YIO CHU KANG GREEN,610,ANG MO KIO AVENUE 4,YIO CHU KANG GREEN,610 ANG MO KIO AVENUE 4 YIO CHU KANG GREEN SINGAPORE 560610,560610,28649.76874,40151.97503,1.37939471,103.8391572,610 ANG MO KIO AVE 4
THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE,610,ANG MO KIO AVENUE 4,THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE,610 ANG MO KIO AVENUE 4 THE SALVATION ARMY ANG MO KIO CHILD CARE CENTRE SINGAPORE 560610,560610,28649.76889,40151.97431,1.379394703,103.8391572,610 ANG MO KIO AVE 4
TECK GHEE HORIZON,474,ANG MO KIO AVENUE 10,TECK GHEE HORIZON,474 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560474,560474,30748.45675,38312.36871,1.362757847,103.8580153,474 ANG MO KIO AVE 10
YIO CHU KANG GREEN,604,ANG MO KIO AVENUE 5,YIO CHU KANG GREEN,604 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560604,560604,28295.80998,40204.1515,1.379866581,103.8359767,604 ANG MO KIO AVE 5
YIO CHU KANG GROVE,154,ANG MO KIO AVENUE 5,YIO CHU KANG GROVE,154 ANG MO KIO AVENUE 5 YIO CHU KANG GROVE SINGAPORE 560154,560154,28880.54959,39805.42996,1.376260674,103.841231,154 ANG MO KIO AVE 5
KEBUN BARU HEIGHTS,110,ANG MO KIO AVENUE 4,KEBUN BARU HEIGHTS,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110,560110,28456.35603,39163.95023,1.37045937,103.8374193,110 ANG MO KIO AVE 4
445 ANG MO KIO AVENUE 10 SINGAPORE 560445,445,ANG MO KIO AVENUE 10,NIL,445 ANG MO KIO AVENUE 10 SINGAPORE 560445,560445,30492.79732,38779.23541,1.366980045,103.8557181,445 ANG MO KIO AVE 10
AMK FSC BASIC (CHENG SAN),445,ANG MO KIO AVENUE 10,AMK FSC BASIC (CHENG SAN),445 ANG MO KIO AVENUE 10 AMK FSC BASIC (CHENG SAN) SINGAPORE 560445,560445,30478.0707,38782.89241,1.367013119,103.8555858,445 ANG MO KIO AVE 10
CHENG SAN FAMILY SERVICE CENTRE,445,ANG MO KIO AVENUE 10,CHENG SAN FAMILY SERVICE CENTRE,445 ANG MO KIO AVENUE 10 CHENG SAN FAMILY SERVICE CENTRE SINGAPORE 560445,560445,30479.52487,38786.86194,1.367049018,103.8555988,445 ANG MO KIO AVE 10
TECK GHEE HORIZON,476,ANG MO KIO AVENUE 10,TECK GHEE HORIZON,476 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560476,560476,30733.46009,38271.50502,1.362388292,103.8578806,476 ANG MO KIO AVE 10
YIO CHU KANG VIEW,631,ANG MO KIO AVENUE 4,YIO CHU KANG VIEW,631 ANG MO KIO AVENUE 4 YIO CHU KANG VIEW SINGAPORE 560631,560631,28825.42699,40169.95195,1.379557282,103.8407357,631 ANG MO KIO AVE 4
