TYP_CD_DES,STN_NAM_DE,latitude,longitude
MRT,ESPLANADE MRT STATION,1.2932599005165748,103.85561173044384
MRT,PAYA LEBAR MRT STATION,1.3173694013409165,103.89227219448992
MRT,DHOBY GHAUT MRT STATION,1.2990442030000555,103.8458331609776
MRT,DAKOTA MRT STATION,1.3083751548153644,103.8886682997104
MRT,LAVENDER MRT STATION,1.3073717305657315,103.86283780148841
LRT,RENJONG LRT STATION,1.3867475130669418,103.89042878848278
MRT,DOVER MRT STATION,1.311394690252533,103.77864915491197
MRT,HOUGANG MRT STATION,1.3712811749621538,103.89234753416677
LRT,PHOENIX LRT STATION,1.378624949437907,103.75803362313546
MRT,ALJUNIED MRT STATION,1.3164324727733285,103.88290604346562
LRT,COVE LRT STATION,1.3993617069115107,103.90591744001952
MRT,PASIR RIS MRT STATION,1.3729518748914034,103.94925763808727
MRT,ADMIRALTY MRT STATION,1.4405870898765625,103.80097700892114
MRT,KEMBANGAN MRT STATION,1.3210380679038685,103.91294752765398
LRT,PUNGGOL POINT LRT STATION,1.4169108527280299,103.90653551145134
MRT,MARSILING MRT STATION,1.4325651686382788,103.77419400277165
LRT,COMPASSVALE LRT STATION,1.3944787834957395,103.90055527768601
MRT,KHATIB MRT STATION,1.4175768087380638,103.83303805996826
LRT,LAYAR LRT STATION,1.3920928723240513,103.88015787540427
MRT,TAMPINES WEST MRT STATION,1.3455175073182426,103.93842947034597
MRT,TAMPINES MRT STATION,1.3532891915703835,103.9451590078193
MRT,TAMPINES EAST MRT STATION,1.3562130024071393,103.95480497235985
MRT,TAI SENG MRT STATION,1.3354531036765176,103.88816447579507
MRT,TAI SENG FACILITY BUILDING,1.34218296039651,103.8952033409921
LRT,SUMANG LRT STATION,1.4083532967378962,103.89851028689685
MRT,SUB STATION,1.3344440447407244,103.96375092192599
MRT,STEVENS MRT STATION,1.3200659545933497,103.82602302624854
MRT,STADIUM MRT STATION,1.302854099961282,103.87534796379133
MRT,SIXTH AVENUE MRT STATION,1.3307848578684878,103.7973204604699
LRT,SOUTH VIEW LRT STATION,1.3802982861038509,103.74529179987137
LRT,SOO TECK LRT STATION,1.405209647134808,103.89723440832947
MRT,SOMERSET MRT STATION,1.3002576151453449,103.83907542814374
MRT,SIMEI MRT STATION,1.3431974386763947,103.95337711865609
MRT,SERANGOON MRT STATION,1.3496172243468032,103.87363463495171
MRT,SERANGOON MRT STATION,1.35053107123662,103.87246307194678
MRT,SENGKANG MRT STATION,1.3915276819886602,103.89541608083216
MRT,BRADDELL MRT STATION,1.3404441145820118,103.84679989896
MRT,NOVENA MRT STATION,1.3204300815698653,103.84381813075433
MRT,FARRER PARK MRT STATION,1.312448228226382,103.85427015830187
MRT,BEDOK MRT STATION,1.3240113190406673,103.93017252024954
MRT,REDHILL MRT STATION,1.2896195393513288,103.81679002792244
MRT,CHANGI AIRPORT MRT STATION,1.3573079310794032,103.98837058061228
LRT,CORAL EDGE LRT STATION,1.3939263505996997,103.91256353499122
MRT,CLEMENTI MRT STATION,1.3150782270960648,103.76523302858317
MRT,BUKIT BATOK MRT STATION,1.3489966464675927,103.74954065604095
LRT,OASIS LRT STATION,1.402350879666463,103.91263185178751
LRT,NIBONG LRT STATION,1.4117555857504347,103.90029894817562
LRT,MERIDIAN LRT STATION,1.3968523392051198,103.90899093847979
MRT,BUKIT GOMBAK MRT STATION,1.3586719217214975,103.75191010908615
MRT,EUNOS MRT STATION,1.319779231393371,103.9033618183305
MRT,CHINESE GARDEN MRT STATION,1.342144975611064,103.73281439458347
LRT,KADALOOR LRT STATION,1.399638509723557,103.91639497897349
LRT,CHENG LIM LRT STATION,1.3962489159003622,103.89390790819797
LRT,SAM KEE LRT STATION,1.409613763573789,103.90483111330525
MRT,KRANJI MRT STATION,1.4252396285337063,103.76218063442073
MRT,ANG MO KIO MRT STATION,1.3699486592802803,103.84961635294987
LRT,RIVIERA LRT STATION,1.3946364786487608,103.91622379033365
LRT,BUKIT PANJANG LRT DEPOT,1.3803143856438977,103.76012308574904
LRT,BANGKIT LRT STATION,1.3800154941573786,103.77266121898697
MRT,PASIR PANJANG MRT STATION,1.276229670411666,103.79134196579439
MRT,HOLLAND VILLAGE MRT STATION,1.3119456177217492,103.79623333618323
MRT,LABRADOR PARK MRT STATION,1.2723234941396802,103.8029277051174
MRT,BOTANIC GARDENS MRT STATION,1.322109492454595,103.81498942408189
MRT,ONE-NORTH MRT STATION,1.299656479799671,103.7873939927229
MRT,KENT RIDGE MRT STATION,1.2934009387341632,103.78449793833006
MRT,HAW PAR VILLA MRT STATION,1.2825029024665264,103.78182132871363
MRT,MARINA BAY MRT STATION,1.2759503532872405,103.85514511015774
MRT,KING ALBERT PARK MRT STATION,1.3356381114225018,103.7838715321676
MRT,LITTLE INDIA MRT STATION,1.3071673593531505,103.8486104995078
MRT,ROCHOR MRT STATION,1.3039275604042277,103.8524388857661
LRT,SENJA LRT STATION,1.3826992420027497,103.76236875392432
MRT,MOUNTBATTEN MRT STATION,1.3061937870716356,103.88254701516428
MRT,ULU PANDAN DEPOT,1.3293220668431347,103.76010191432347
MRT,CHOA CHU KANG MRT STATION,1.385172051352669,103.74436906811438
MRT,BOON KENG MRT STATION,1.3194470900203024,103.86168108568937
MRT,BARTLEY MRT STATION,1.3428468441440844,103.87972518727436
LRT,SEGAR LRT STATION,1.3877564079041185,103.76965965369057
MRT,GALI BATU DEPOT,1.3975850830227565,103.75609202475367
